nid,title,type,doc_type,BoL
16423,"HF Guide--ERISA",document,239,127
52002,"ERISA Section 2 [29 USC 1001] Congressional findings and declaration of policy",statute,NULL,127
52003,"29 USC 1001a - Additional Congressional findings and declaration of policy",statute,NULL,127
52004,"29 USC 1001b - Findings and declaration of policy",statute,NULL,127
52005,"ERISA Section 3 [29 USC 1002] Definitions",statute,NULL,127
52006,"ERISA Section 4 [29 USC 1003] Coverage",statute,NULL,127
52007,"ERISA Section 101 [29 USC 1021] Duty of disclosure and reporting",statute,NULL,127
52008,"ERISA Section 102 [29 USC 1022] Summary plan description",statute,NULL,127
52009,"ERISA Section 103 [29 USC 1023] Annual reports",statute,NULL,127
52010,"ERISA Section 104 [29 USC 1024] Filing with Secretary and furnishing information to participants and certain employers",statute,NULL,127
52011,"ERISA Section 105 [29 USC 1025] Reporting of participant’s benefit rights",statute,NULL,127
52012,"ERISA Section 106 [29 USC 1026] Reports made public information",statute,NULL,127
52013,"ERISA Section 107 [29 USC 1027] Retention of records",statute,NULL,127
52014,"ERISA Section 108 [29 USC 1028] Reliance on administrative interpretations",statute,NULL,127
52015,"ERISA Section 109 [29 USC 1029] Forms",statute,NULL,127
52016,"ERISA Section 110 [29 USC 1030] Alternative methods of compliance",statute,NULL,127
52017,"ERISA Section 111 [29 USC 1031] Repeal and effective date",statute,NULL,127
52018,"ERISA Section 201 [29 USC 1051] Coverage",statute,NULL,127
52019,"ERISA Section 202 [29 USC 1052] Minimum participation standards",statute,NULL,127
52020,"ERISA Section 203 [29 USC 1053] Minimum vesting standards",statute,NULL,127
52021,"ERISA Section 204 [29 USC 1054] Benefit accrual requirements",statute,NULL,127
52022,"ERISA Section 205 [29 USC 1055] Requirement of joint and survivor annuity and preretirement survivor annuity",statute,NULL,127
52023,"ERISA Section 206 [29 USC 1056] Form and payment of benefits",statute,NULL,127
52024,"ERISA Section 207 [29 USC 1057] Repealed. Pub. L. 109-280, title I, § 108(d), formerly § 107(d), Aug. 17, 2006, 120 Stat. 820, renumbered Pub. L. 111-192, title II, § 202(a), June 25, 2010, 124 Stat. 1297",statute,NULL,127
52025,"ERISA Section 208 [29 USC 1058] Mergers and consolidations of plans or transfers of plan assets",statute,NULL,127
52026,"ERISA Section 209 [29 USC 1059] Recordkeeping and reporting requirements",statute,NULL,127
52027,"ERISA Section 210 [29 USC 1060] Multiple employer plans and other special rules",statute,NULL,127
52028,"ERISA Section 211 [29 USC 1061] Effective dates",statute,NULL,127
52029,"ERISA Section 301 [29 USC 1081] Coverage",statute,NULL,127
52030,"ERISA Section 302 [29 USC 1082] Minimum funding standards",statute,NULL,127
52031,"ERISA Section 303 [29 USC 1083] Minimum funding standards for single-employer defined benefit pension plans",statute,NULL,127
52032,"ERISA Section 304 [29 USC 1084] Minimum funding standards for multiemployer plans",statute,NULL,127
52033,"ERISA Section 305 [29 USC 1085] Additional funding rules for multiemployer plans in endangered status or critical status",statute,NULL,127
52034,"ERISA Section 306 [29 USC 1085a] Minimum funding standards",statute,NULL,127
52035,"ERISA Section 307 [29 USC 1085b, 1086] Repealed. Pub. L. 109-280, title I, § 101(a), Aug. 17, 2006, 120 Stat. 784",statute,NULL,127
52036,"ERISA Section 401 [29 USC 1101] Coverage",statute,NULL,127
52037,"ERISA Section 402 [29 USC 1102] Establishment of plan",statute,NULL,127
52038,"ERISA Section 403 [29 USC 1103] Establishment of trust",statute,NULL,127
52039,"ERISA Section 404 [29 USC 1104] Fiduciary duties",statute,NULL,127
52040,"ERISA Section 405 [29 USC 1105] Liability for breach of co-fiduciary",statute,NULL,127
52041,"ERISA Section 406 [29 USC 1106] Prohibited transactions",statute,NULL,127
52042,"ERISA Section 407 [29 USC 1107] Limitation with respect to acquisition and holding of employer securities and employer real property by certain plans",statute,NULL,127
52043,"ERISA Section 408 [29 USC 1108] Exemptions from prohibited transactions",statute,NULL,127
52044,"ERISA Section 409 [29 USC 1109] Liability for breach of fiduciary duty",statute,NULL,127
52045,"ERISA Section 410 [29 USC 1110] Exculpatory provisions; insurance",statute,NULL,127
52046,"ERISA Section 411 [29 USC 1111] Persons prohibited from holding certain positions",statute,NULL,127
52047,"ERISA Section 412 [29 USC 1112] Bonding",statute,NULL,127
52048,"ERISA Section 413 [29 USC 1113] Limitation of actions",statute,NULL,127
52049,"ERISA Section 414 [29 USC 1114] Effective date",statute,NULL,127
52050,"ERISA Section 501 [29 USC 1131] Criminal penalties",statute,NULL,127
52051,"ERISA Section 502 [29 USC 1132] Civil enforcement",statute,NULL,127
52052,"ERISA Section 503 [29 USC 1133] Claims procedure",statute,NULL,127
52053,"ERISA Section 504 [29 USC 1134] Investigative authority",statute,NULL,127
52054,"ERISA Section 505 [29 USC 1135] Regulations",statute,NULL,127
52055,"ERISA Section 506 [29 USC 1136] Coordination and responsibility of agencies enforcing this subchapter and related Federal laws",statute,NULL,127
52056,"ERISA Section 507 [29 USC 1137] Administration",statute,NULL,127
52057,"ERISA Section 508 [29 USC 1138] Appropriations",statute,NULL,127
52058,"ERISA Section 509 [29 USC 1139] Separability",statute,NULL,127
52059,"ERISA Section 510 [29 USC 1140] Interference with protected rights",statute,NULL,127
52060,"ERISA Section 511 [29 USC 1141] Coercive interference",statute,NULL,127
52061,"ERISA Section 512 [29 USC 1142] Advisory Council on Employee Welfare and Pension Benefit Plans",statute,NULL,127
52062,"ERISA Section 513 [29 USC 1143] Research, studies, and reports",statute,NULL,127
52063,"29 USC 1143a - Studies by Comptroller General",statute,NULL,127
52064,"ERISA Section 514 [29 USC 1144] Other laws",statute,NULL,127
52065,"29 USC 1144a - Clarification of church welfare plan status under State insurance law",statute,NULL,127
52066,"ERISA Section 515 [29 USC 1145] Delinquent contributions",statute,NULL,127
52067,"ERISA Section 516 [29 USC 1146] Outreach to promote retirement income savings",statute,NULL,127
52068,"ERISA Section 517 [29 USC 1147] National Summit on Retirement Savings",statute,NULL,127
52069,"ERISA Section 518 [29 USC 1148] Authority to postpone certain deadlines by reason of Presidentially declared disaster or terroristic or military actions",statute,NULL,127
52070,"ERISA Section 519 [29 USC 1149] Prohibition on false statements and representations",statute,NULL,127
52071,"ERISA Section 520 [29 USC 1150] Applicability of State law to combat fraud and abuse",statute,NULL,127
52072,"ERISA Section 521 [29 USC 1151] Administrative summary cease and desist orders and summary seizure orders against multiple employer welfare arrangements in financially hazardous condition",statute,NULL,127
52073,"ERISA Section 601 [29 USC 1161] Plans must provide continuation coverage to certain individuals",statute,NULL,127
52074,"ERISA Section 602 [29 USC 1162] Continuation coverage",statute,NULL,127
52075,"ERISA Section 603 [29 USC 1163] Qualifying event",statute,NULL,127
52076,"ERISA Section 604 [29 USC 1164] Applicable premium",statute,NULL,127
52077,"ERISA Section 605 [29 USC 1165] Election",statute,NULL,127
52078,"ERISA Section 606 [29 USC 1166] Notice requirements",statute,NULL,127
52079,"ERISA Section 607 [29 USC 1167] Definitions and special rules",statute,NULL,127
52080,"ERISA Section 608 [29 USC 1168] Regulations",statute,NULL,127
52081,"ERISA Section 609 [29 USC 1169] Additional standards for group health plans",statute,NULL,127
52082,"ERISA Section 701 [29 USC 1181] Increased portability through limitation on preexisting condition exclusions",statute,NULL,127
52083,"ERISA Section 702 [29 USC 1182] Prohibiting discrimination against individual participants and beneficiaries based on health status",statute,NULL,127
52084,"ERISA Section 703 [29 USC 1183] Guaranteed renewability in multiemployer plans and multiple employer welfare arrangements",statute,NULL,127
52085,"ERISA Section 711 [29 USC 1185] Standards relating to benefits for mothers and newborns",statute,NULL,127
52086,"ERISA Section 712 [29 USC 1185a] Parity in mental health and substance use disorder benefits",statute,NULL,127
52087,"ERISA Section 713 [29 USC 1185b] Required coverage for reconstructive surgery following mastectomies",statute,NULL,127
52088,"ERISA Section 714 [29 USC 1185c] Coverage of dependent students on medically necessary leave of absence",statute,NULL,127
52089,"ERISA Section 715 [29 USC 1185d] Additional market reforms",statute,NULL,127
52090,"ERISA Section 731 [29 USC 1191] Preemption; State flexibility; construction",statute,NULL,127
52091,"ERISA Section 732 [29 USC 1191a] Special rules relating to group health plans",statute,NULL,127
52092,"ERISA Section 733 [29 USC 1191b] Definitions",statute,NULL,127
52093,"ERISA Section 734 [29 USC 1191c] Regulations",statute,NULL,127
52094,"ERISA Section 3001 [29 USC 1201] Procedures in connection with the issuance of certain determination letters by the Secretary of the Treasury covering qualifications under Internal Revenue Code",statute,NULL,127
52095,"ERISA Section 3002 [29 USC 1202] Procedures with respect to continued compliance with Internal Revenue requirements relating to participation, vesting, and funding standards",statute,NULL,127
52096,"29 USC 1202a - Employee plans compliance resolution system",statute,NULL,127
52097,"ERISA Section 3003 [29 USC 1203] Procedures in connection with prohibited transactions",statute,NULL,127
52098,"ERISA Section 3004 [29 USC 1204] Coordination between the Department of the Treasury and the Department of Labor",statute,NULL,127
52099,"ERISA Section 3021 [29 USC 1221] Establishment",statute,NULL,127
52100,"ERISA Section 3022 [29 USC 1222] Duties",statute,NULL,127
52101,"ERISA Section 3031 [29 USC 1231] Congressional study",statute,NULL,127
52102,"ERISA Section 3032 [29 USC 1232] Protection for employees under Federal procurement, construction, and research contracts and grants",statute,NULL,127
52103,"ERISA Section 3041 [29 USC 1241] Joint Board for the Enrollment of Actuaries",statute,NULL,127
52104,"ERISA Section 3041 [29 USC 1242] Enrollment by Board; standards and qualifications; suspension or termination of enrollment",statute,NULL,127
52105,"ERISA Section 4001 [29 USC 1301] Definitions",statute,NULL,127
52106,"ERISA Section 4002 [29 USC 1302] Pension Benefit Guaranty Corporation",statute,NULL,127
52107,"ERISA Section 4003 [29 USC 1303] Operation of corporation",statute,NULL,127
52108,"ERISA Section 4004 [29 USC 1304] Participant and Plan Sponsor Advocate",statute,NULL,127
52109,"29 USC 1304a - Sponsor education and assistance",statute,NULL,127
52110,"ERISA Section 4006 [29 USC 1305] Pension benefit guaranty funds",statute,NULL,127
52111,"ERISA Section 4007 [29 USC 1306] Premium rates",statute,NULL,127
52112,"ERISA Section 4008 [29 USC 1307] Payment of premiums",statute,NULL,127
52113,"ERISA Section 4009 [29 USC 1308] Annual report by the corporation",statute,NULL,127
52114,"ERISA Section 4009 [29 USC 1309] Portability assistance",statute,NULL,127
52115,"ERISA Section 4010 [29 USC 1310] Authority to require certain information",statute,NULL,127
52116,"ERISA Section 4011 [29 USC 1311] Repealed. Pub. L. 109-280, title V, § 501(b)(1), Aug. 17, 2006, 120 Stat. 939",statute,NULL,127
52117,"ERISA Section 4021 [29 USC 1321] Coverage",statute,NULL,127
52118,"ERISA Section 4022 [29 USC 1322] Single-employer plan benefits guaranteed",statute,NULL,127
52119,"ERISA Section 4022A [29 USC 1322a] Multiemployer plan benefits guaranteed",statute,NULL,127
52120,"ERISA Section 4022B [29 USC 1322b] Aggregate limit on benefits guaranteed; criteria applicable",statute,NULL,127
52121,"ERISA Section 4023 [29 USC 1323] Plan fiduciaries",statute,NULL,127
52122,"ERISA Section 4041 [29 USC 1341] Termination of single-employer plans",statute,NULL,127
52123,"ERISA Section 4041A [29 USC 1341a] Termination of multiemployer plans",statute,NULL,127
52124,"ERISA Section 4042 [29 USC 1342] Institution of termination proceedings by the corporation",statute,NULL,127
52125,"ERISA Section 4043 [29 USC 1343] Reportable events",statute,NULL,127
52126,"ERISA Section 4044 [29 USC 1344] Allocation of assets",statute,NULL,127
52127,"ERISA Section 4045 [29 USC 1345] Recapture of payments",statute,NULL,127
52128,"ERISA Section 4046 [29 USC 1346] Reports to trustee",statute,NULL,127
52129,"ERISA Section 4047 [29 USC 1347] Restoration of plans",statute,NULL,127
52130,"ERISA Section 4048 [29 USC 1348] Termination date",statute,NULL,127
52131,"ERISA Section 4049 [29 USC 1349] Repealed. Pub. L. 100-203, title IX, § 9312(a), Dec. 22, 1987, 101 Stat. 1330-361",statute,NULL,127
52132,"ERISA Section 4050 [29 USC 1350] Missing participants",statute,NULL,127
52133,"ERISA Section 4061 [29 USC 1361] Amounts payable by corporation",statute,NULL,127
52134,"ERISA Section 4062 [29 USC 1362] Liability for termination of single-employer plans under a distress termination or a termination by corporation",statute,NULL,127
52135,"ERISA Section 4063 [29 USC 1363] Liability of substantial employer for withdrawal from single-employer plans under multiple controlled groups",statute,NULL,127
52136,"ERISA Section 4064 [29 USC 1364] Liability on termination of single-employer plans under multiple controlled groups",statute,NULL,127
52137,"ERISA Section 4065 [29 USC 1365] Annual report of plan administrator",statute,NULL,127
52138,"ERISA Section 4066 [29 USC 1366] Annual notification to substantial employers",statute,NULL,127
52139,"ERISA Section 4067 [29 USC 1367] Recovery of liability for plan termination",statute,NULL,127
52140,"ERISA Section 4068 [29 USC 1368] Lien for liability",statute,NULL,127
52141,"ERISA Section 4069 [29 USC 1369] Treatment of transactions to evade liability; effect of corporate reorganization",statute,NULL,127
52142,"ERISA Section 4070 [29 USC 1370] Enforcement authority relating to terminations of single-employer plans",statute,NULL,127
52143,"ERISA Section 4071 [29 USC 1371] Penalty for failure to timely provide required information",statute,NULL,127
52144,"ERISA Section 4201 [29 USC 1381] Withdrawal liability established; criteria and definitions",statute,NULL,127
52145,"ERISA Section 4202 [29 USC 1382] Determination and collection of liability; notification of employer",statute,NULL,127
